"","V1","V2","V3","V4"
"popMat",0,762,1,0
"",0.651098016091318,761,2,0
"",0.707718783029406,760,3,0
"",0.931835445570822,759,4,0
"",0.944971904179592,758,5,0
"",1.32953647196746,757,6,0
"",1.37918299002156,756,7,0
"",1.41168259951911,755,8,0
"",1.55367549198103,755,7,1
"",1.60492768739846,755,6,2
"",1.64817846418615,754,7,2
"",1.80445433841714,753,8,2
"",1.81650098418129,752,9,2
"",2.03419348826321,751,10,2
"",2.05246202572483,750,11,2
"",2.07208899305743,749,12,2
"",2.15884867531773,748,13,2
"",2.20627035114119,747,14,2
"",2.23819939869256,746,15,2
"",2.24433444488295,745,16,2
"",2.26863254972007,744,17,2
"",2.28068739610408,743,18,2
"",2.28373253193101,742,19,2
"",2.29142259787667,741,20,2
"",2.36200001444323,740,21,2
"",2.36371392941315,739,22,2
"",2.37794200029818,738,23,2
"",2.40322647116546,737,24,2
"",2.4337127150732,736,25,2
"",2.44150436982319,735,26,2
"",2.45908942986744,734,27,2
"",2.4695851198497,733,28,2
"",2.49972757664862,732,29,2
"",2.51893920498737,731,30,2
"",2.56130197987912,730,31,2
"",2.56341074456822,730,30,3
"",2.58213840822929,730,29,4
"",2.59634396659667,730,28,5
"",2.61602607725401,729,29,5
"",2.62173918668343,728,30,5
"",2.62545129079322,728,29,6
"",2.64086132086119,728,28,7
"",2.6510013798536,727,29,7
"",2.65554199855828,726,30,7
"",2.69764563641955,725,31,7
"",2.73625271375395,725,30,8
"",2.74005511873135,724,31,8
"",2.7598935690962,723,32,8
"",2.76077171491562,723,31,9
"",2.78205578164495,722,32,9
"",2.78914044567414,722,31,10
"",2.789442542221,721,32,10
"",2.79463726029873,721,31,11
"",2.80415482386937,720,32,11
"",2.81268332004647,720,31,12
"",2.83909854265539,720,30,13
"",2.84570044985143,719,31,13
"",2.85307691501221,718,32,13
"",2.85618840789695,718,31,14
"",2.85727014641545,717,32,14
"",2.86094938580961,716,33,14
"",2.86590456992994,715,34,14
"",2.86905256189801,714,35,14
"",2.90661110503857,713,36,14
"",2.91635198238843,712,37,14
"",2.91945938721723,711,38,14
"",2.92215329877464,710,39,14
