Day,S,E,I,R,D
117,8490800.0,0.0,20.0,0.0,0.0
118,8490720.0,0.0,20.0,0.0,0.0
119,8490640.0,0.0,20.0,0.0,0.0
120,8490560.0,0.0,20.0,0.0,0.0
121,8490480.0,0.0,20.0,0.0,0.0
122,8490400.0,0.0,20.0,0.0,0.0
123,8490320.0,0.0,20.0,0.0,0.0
124,8490240.0,0.0,20.0,0.0,0.0
125,8490160.0,0.0,20.0,0.0,0.0
126,8490080.0,0.0,20.0,0.0,0.0
127,8490000.0,0.0,20.0,0.0,0.0
128,8489920.0,0.0,20.0,0.0,0.0
129,8489840.0,0.0,20.0,0.0,0.0
130,8489760.0,0.0,20.0,0.0,0.0
131,8489680.0,0.0,20.0,0.0,0.0
132,8489600.0,0.0,20.0,0.0,0.0
133,8489520.0,0.0,20.0,0.0,0.0
134,8489440.0,0.0,20.0,0.0,0.0
135,8489360.0,0.0,20.0,0.0,0.0
136,8489280.0,0.0,20.0,0.0,0.0
137,8489200.0,0.0,20.0,0.0,0.0
138,8489120.0,0.0,20.0,0.0,0.0
139,8489040.0,0.0,20.0,0.0,0.0
140,8488960.0,0.0,20.0,0.0,0.0
141,8488880.0,0.0,20.0,0.0,0.0
142,8488800.0,0.0,20.0,0.0,0.0
143,8488720.0,0.0,20.0,0.0,0.0
144,8488640.0,0.0,20.0,0.0,0.0
145,8488560.0,0.0,20.0,0.0,0.0
146,8488480.0,0.0,20.0,0.0,0.0
147,8488400.0,0.0,20.0,0.0,0.0
148,8488320.0,0.0,20.0,0.0,0.0
149,8488240.0,0.0,20.0,0.0,0.0
150,8488160.0,0.0,20.0,0.0,0.0
151,8488080.0,0.0,20.0,0.0,0.0
152,8488000.0,0.0,20.0,0.0,0.0
153,8487920.0,0.0,20.0,0.0,0.0
154,8487840.0,0.0,20.0,0.0,0.0
155,8487760.0,0.0,20.0,0.0,0.0
156,8487680.0,0.0,20.0,0.0,0.0
157,8487600.0,0.0,20.0,0.0,0.0
158,8487520.0,0.0,20.0,0.0,0.0
159,8487440.0,0.0,20.0,0.0,0.0
160,8487360.0,0.0,20.0,0.0,0.0
161,8487280.0,0.0,20.0,0.0,0.0
162,8487200.0,0.0,20.0,0.0,0.0
163,8487120.0,0.0,20.0,0.0,0.0
164,8487040.0,0.0,20.0,0.0,0.0
165,8486960.0,0.0,20.0,0.0,0.0
166,8486880.0,0.0,20.0,0.0,0.0
167,8486800.0,0.0,20.0,0.0,0.0
168,8486720.0,0.0,20.0,0.0,0.0
169,8486640.0,0.0,20.0,0.0,0.0
170,8486560.0,0.0,20.0,0.0,0.0
171,8486480.0,0.0,20.0,0.0,0.0
172,8486400.0,0.0,20.0,0.0,0.0
173,8486320.0,0.0,20.0,0.0,0.0
174,8486240.0,0.0,20.0,0.0,0.0
175,8486160.0,0.0,20.0,0.0,0.0
176,8486080.0,0.0,20.0,0.0,0.0
177,8486000.0,0.0,20.0,0.0,0.0
178,8485920.0,0.0,20.0,0.0,0.0
179,8485840.0,0.0,20.0,0.0,0.0
180,8485760.0,0.0,20.0,0.0,0.0
